Bordr Cstm Yn,Cstm Cd,Cstm Fg Cd,Cstm Nm,Cstm Nm Bk,Group Id,Upper Cstm Cd,Use Dclr,Use Ib,Use Yn,Audit Team Mgr Cnt,Exp Auditor Cnt,Exp Inspct Team Mgr Cnt,Exp Inspctor Cnt,Imp Auditor Cnt,Imp Inspct Team Mgr Cnt,Imp Inspctor Cnt,Impexp Auditor Cnt,Impexp Inspct Team Mgr Cnt,Impexp Inspctor Cnt
N,06504,30,Татвар,Татвар,,06,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,06505,30,Хураамж,Хураамж,,06,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,06600,30,Статистик,Статистик,,06,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,06800,30,Эрсдэл,Эрсдэл,,06,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,06901,30,Дорнод дахь гүний гааль,Дорнод дахь гүний гааль,,06,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,06902,30,Баянтүмэн өртөө ,Баянтүмэн өртөө ,,06,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,06903,30,Эрээнцав,Эрээнцав ,,06,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,06905,30,Хавирга ,Хавирга ,,06,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,06906,30,Баянхошуу ,Баянхошуу ,,06,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,06908,30,Тамсаг ,Тамсаг ,,06,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,06909,30,Дорнод Шан-лун,Дорнод Шан-лун,,06,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,06911,30,Бичигт,Бичигт,,06,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,06912,30,СБ Цайрт минерал,СБ Цайрт минерал,,06,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,07100,30,Захиргааны хэсэг,Захиргааны хэсэг,,07,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,07200,30,"Гаалийн хяналт,  бүрдүүлэлтийн хэсэг","Гаалийн хяналт,  бүрдүүлэлтийн хэсэг",,07,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,07500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,07,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,07502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,07,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,07503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,07,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,07504,30,Татвар,Татвар,,07,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,07600,30,Статистик,Статистик,,07,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,07904,30,Даян ,Даян ,,07,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,08100,30,Захиргааны хэсэг,Захиргааны хэсэг,,08,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,08201,30,Ярантын бүрдүүлэлтийн 3-р хэсэг,Булган дахь гаалийн бүрдүүлэлтийн хэсэг,,08,N,N,Y,0,0,0,0,0,0,0,0,0,0
Y,08203,30,Байтаг дахь хилийн боомт,Байтаг дахь хилийн боомт,,08,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,08501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,08,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,08503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,08,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,08504,30,Татвар,Татвар,,08,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,08505,30,Хураамж,Хураамж,,08,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,08800,30,Эрсдэл,Эрсдэл,,08,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,08902,30,Булган гүний гааль ,Булган гүний гааль ,,08,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,08903,30,Ярант,Ярант ,,08204,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,09201,30,Улаангом дахь гаалийн бүрдүүлэлтийн хэсэг,Улаангом дахь гаалийн бүрдүүлэлтийн хэсэг,,09,Y,N,Y,0,0,0,0,1,1,1,0,0,0
N,09500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,09,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,09501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,09,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,09502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,09,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,09504,30,Татвар,Татвар,,09,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,09505,30,Хураамж,Хураамж,,09,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,09600,30,Статистик,Статистик,,09,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,09902,30,Боршоо,Боршоо,,09,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,09903,30,Тэс ,Тэс ,,09,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,10203,30,Тэшиг дэх гаалийн салбар,Тэшиг дэх гаалийн салбар,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,10504,30,Татвар,Татвар,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,10505,30,Хураамж,Хураамж,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,10800,30,Эрсдэл,Эрсдэл,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,10902,30,Бага-Илэнх ,Бага-Илэнх ,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,10903,30,Эрдэнэт үйлдвэр ,Эрдэнэт үйлдвэр ,,10,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11100,30,Захиргааны хэсэг,Захиргааны хэсэг,,11,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,11203,30,Бор-Өндөр дэх гаалийн салбар,Бор-Өндөр дэх гаалийн салбар,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11205,30,Сайншанд дахь автотээврийн хяналтын хэсэг,Сайншанд дахь автотээврийн хяналтын хэсэг,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11207,30,Айраг дахь гаалийн салбар,Айраг дахь гаалийн салбар,,11,Y,N,Y,0,0,0,0,0,0,0,0,1,0
N,11500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11504,30,Татвар,Татвар,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11505,30,Хураамж,Хураамж,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11600,30,Статистик,Статистик,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11902,30,25-р зөрлөг,25-р зөрлөг,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11903,30,Шанд Цайрт минерал,Шанд Цайрт минерал,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,11905,30,Бор-Өндөр ,Бор-Өндөр ,,11,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,12202,30,DHL дахь бүрдүүлэлтийн хэсэг,DHL дахь бүрдүүлэлтийн хэсэг,,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,12500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,12501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,12504,30,Татвар,Татвар,,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,12800,30,Эрсдэл,Эрсдэл,,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,01,10,Гаалийн ерөнхий газар (ГЕГ),лсын гаалийн ерөнхий газар(MCGA),,,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,12903,30,Ди Эйч Эл ХХК,Ди Эйч Эл ХХК,,12,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13100,30,Захиргааны хэсэг,Захиргааны хэсэг,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13201,30,Дарханы төв дахь гаалийн бүрдүүлэлтийн хэсэг,Дарханы төв дахь гаалийн бүрдүүлэлтийн хэсэг,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13202,30,Хандгайт дахь гаалийн салбар,Зүүн хараа дахь төмөр  замын хяналтын хэсэг,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13501,30,БТКУС-ын хэсэг,БТКУС-ын хэсэг,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13502,30,"Үнэ, үнэлгээний хэсэг","Үнэ, үнэлгээний хэсэг",,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13504,30,Татвар,Татвар,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13505,30,Хураамж,Хураамж,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13800,30,Эрсдэл,Эрсдэл,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13902,30,Дархан-2 өртөө ,Дархан-2 өртөө ,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13903,30,Зүүнхараа өртөө ,Зүүнхараа өртөө ,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,13904,30,Хөтөл өртөө ,Хөтөл өртөө ,,13,Y,N,Y,0,0,0,0,0,0,0,0,0,0
Y,14201,30,Гашуун-Сухайтын гаалийн бүрдүүлэлтийн хэсэг,Гашуун-Сухайтын гаалийн бүрдүүлэлтийн хэсэг,,14,Y,N,Y,0,0,0,0,0,0,0,0,0,0
N,14500,30,"Санхүү, татварын хэсэг","Санхүү, татварын хэсэг",,14,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,14503,30,Санхүүгийн хэсэг,Санхүүгийн хэсэг,,14,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,14504,30,Татвар,Татвар,,14,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,14600,30,Статистик,Статистик,,14,Y,N,N,0,0,0,0,0,0,0,0,0,0
N,14904,30,Цагаан хад мөнхийн их:Нэг цэгийн үйлчилгээ,Пүжин Мон ХХК,,14,N,N,Y,0,0,0,0,0,0,0,0,0,0
N,14905,30,Ориент Энержи ХХК,Ориент Энержи ХХК,,14,N,N,Y,0,0,0,0,0,0,0,0,0,0
N,15100,30,Захиргааны хэсэг,Захиргааны хэсэг,,15,Y,N,N,0,0,0,0,0,0,0,0,0,0
